lab_id,lab_name,location,equipment_list,availability,contact_person,contact_email
LAB_776786,Regional Environmental Science Testing Facility,"Bengaluru, Karnataka",Dissolved Oxygen Sensor;CO2 Sensor;Digital Multimeter;Particulate Matter Sensor (PM2.5);Portable Water Quality Analyzer;Waterproof Enclosure;Water Sampler;Total Station (Survey),"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Prof. Das,contact@regionalenvironmentalsciencetestingfacility.edu.in
LAB_3D7003,Digital Civil Innovation Center,"Pune, Maharashtra",Strain Gauge;Proctor Compaction Test;X-Ray Diffractometer (XRD);Compression Testing Machine (CTM);Soldering Station;Traffic Counter Sensor;GPS RTK System;Theodolite;Network Switch (10GbE);Drone (Survey Grade);Penetrometer;Total Station (Survey),"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Nair,contact@digitalcivilinnovationcenter.edu.in
LAB_52A06F,Regional CS-AI Testing Facility,"Delhi, NCR",NAS Storage (100TB);Tactile Sensor;GPU Workstation (NVIDIA RTX 4090);TPU Cloud Instance;Network Switch (10GbE);Microscope (Fluorescent);Microphone Array;Jetson Nano;LiDAR Sensor;High-Resolution Camera,"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Prof. Iyer,contact@regionalcs-aitestingfacility.edu.in
LAB_6BB1A0,Precision Biomedical Testing Facility,"Lucknow, Uttar Pradesh",High-Speed Camera;Incubator;Spectrophotometer;ECG Sensor;PCB Prototyping Machine;GPU Workstation (NVIDIA A100);Microcontroller (ESP32);ELISA Reader,"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Nair,contact@precisionbiomedicaltestingfacility.edu.in
LAB_CCC48A,Digital Civil Research Lab,"Mumbai, Maharashtra",Strain Gauge;Proctor Compaction Test;Transmission Electron Microscope (TEM);Waterproof Enclosure;Compression Testing Machine (CTM);Accelerometer;Traffic Counter Sensor;Theodolite;Drone (Survey Grade);Piezometer;Penetrometer;Total Station (Survey),"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Ms. Das,contact@digitalcivilresearchlab.edu.in
LAB_B67B52,Advanced Environmental Science Testing Facility,"Ahmedabad, Gujarat",Turbidity Meter;Spectrophotometer;pH Sensor;Particulate Matter Sensor (PM2.5);Waterproof Enclosure;Anemometer;Raspberry Pi 4;Drone (DJI Matrice),"{""Monday-Friday"": ""10:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Das,contact@advancedenvironmentalsciencetestingfacility.edu.in
LAB_329A81,Digital Environmental Science Testing Facility,"Ahmedabad, Gujarat",pH Sensor;Turbidity Meter;CO2 Sensor;Ball Mill;Datalogger;Breadboard & Jumper Wires;Portable Water Quality Analyzer;Particulate Matter Sensor (PM2.5);Electrophoresis Apparatus;Waterproof Enclosure;Conductivity Meter;GPS Device;Turbidity Sensor;Raspberry Pi 4;Anemometer;Water Sampler;Power Supply (Variable),"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Mr. Singh,contact@digitalenvironmentalsciencetestingfacility.edu.in
LAB_29B0BB,Advanced Civil Testing Facility,"Kolkata, West Bengal",Proctor Compaction Test;Conductivity Meter;Traffic Counter Sensor;GPS RTK System;Theodolite;Core Cutter;Schmidt Hammer;Total Station (Survey),"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Nair,contact@advancedciviltestingfacility.edu.in
LAB_021BD1,Collaborative Electronics Innovation Center,"Bengaluru, Karnataka",Function Generator;PCB Prototyping Machine;STM32 Nucleo Board;Arduino Mega;Scanning Electron Microscope (SEM);Soldering Station;RF Signal Generator;Spectrum Analyzer;FPGA Board (Xilinx Artix-7);Breadboard & Jumper Wires;Power Supply (Variable);Motor Driver Module,"{""Monday-Friday"": ""9:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Sharma,contact@collaborativeelectronicsinnovationcenter.edu.in
LAB_311F71,Precision CS-AI Institute of Technology,"Kochi, Kerala",NAS Storage (100TB);Incubator;EEG Headset;Raspberry Pi 5;LiDAR Sensor;TPU Cloud Instance;Network Switch (10GbE);Microphone Array;Jetson Nano;Tactile Sensor;High-Resolution Camera,"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Iyer,contact@precisioncs-aiinstituteoftechnology.edu.in
LAB_7C5C1C,Precision Civil Innovation Center,"Ahmedabad, Gujarat",Muffle Furnace;AFM (Atomic Force Microscope);Triaxial Test Apparatus;Proctor Compaction Test;Accelerometer;Schmidt Hammer;Thermogravimetric Analyzer (TGA);Theodolite;Drone (Survey Grade);Piezometer;Total Station (Survey),"{""Monday-Friday"": ""9:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Sharma,contact@precisioncivilinnovationcenter.edu.in
LAB_F39E33,Apex Civil Research Lab,"Coimbatore, Tamil Nadu",Proctor Compaction Test;Rainfall Gauge;Compression Testing Machine (CTM);Accelerometer;Traffic Counter Sensor;GPS RTK System;Theodolite;Core Cutter;Schmidt Hammer;Drone (Survey Grade);Piezometer;Penetrometer;Total Station (Survey),"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Singh,contact@apexcivilresearchlab.edu.in
LAB_CCAD8A,Collaborative Biomedical Center for Excellence,"Bhubaneswar, Odisha",High-Speed Camera;EEG Headset;Flow Cytometer;ECG Sensor;Blood Glucose Sensor;GPU Workstation (NVIDIA A100);Microcontroller (ESP32);Centrifuge;MRI Scanner (access);PCR Machine;Conductivity Meter;Biosensor Array;Scanning Electron Microscope (SEM);Microscope (Fluorescent);ELISA Reader;Autoclave,"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Singh,contact@collaborativebiomedicalcenterforexcellence.edu.in
LAB_6FB47F,Advanced CS-AI Testing Facility,"Mumbai, Maharashtra",NAS Storage (100TB);Dissolved Oxygen Sensor;Raspberry Pi 5;Datalogger;GPU Workstation (NVIDIA RTX 4090);TPU Cloud Instance;Microphone Array;Jetson Nano;LiDAR Sensor;STM32 Nucleo Board,"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Singh,contact@advancedcs-aitestingfacility.edu.in
LAB_7BE724,Advanced Materials Science Institute of Technology,"Chandigarh, Punjab",Muffle Furnace;AFM (Atomic Force Microscope);Strain Gauge;pH Sensor;Sputtering System;Hardness Tester;Thermogravimetric Analyzer (TGA);Electrochemical Workstation;Spin Coater;Soil pH Meter,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Nair,contact@advancedmaterialsscienceinstituteoftechnology.edu.in
LAB_D674D0,Precision CS-AI Innovation Center,"Bengaluru, Karnataka",NAS Storage (100TB);Raspberry Pi 5;GPU Workstation (NVIDIA RTX 4090);TPU Cloud Instance;Arduino Mega;Network Switch (10GbE);Microphone Array;Jetson Nano;LiDAR Sensor;High-Resolution Camera;Penetrometer,"{""Monday-Friday"": ""10:00-18:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Prof. Das,contact@precisioncs-aiinnovationcenter.edu.in
LAB_D47204,Precision Materials Science Research Lab,"Pune, Maharashtra",Muffle Furnace;AFM (Atomic Force Microscope);Raman Spectrometer;Ball Mill;Transmission Electron Microscope (TEM);Universal Testing Machine (UTM);Sputtering System;Strain Gauge;Hardness Tester;X-Ray Diffractometer (XRD);Conductivity Meter;Thermogravimetric Analyzer (TGA);Electrochemical Workstation;Scanning Electron Microscope (SEM);Spin Coater,"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Reddy,contact@precisionmaterialsscienceresearchlab.edu.in
LAB_5F8C59,Advanced Civil Innovation Center,"Lucknow, Uttar Pradesh",Spectrophotometer;Breadboard & Jumper Wires;Compression Testing Machine (CTM);GPU Workstation (NVIDIA A100);Traffic Counter Sensor;GPS RTK System;Theodolite;Core Cutter;Drone (Survey Grade);Piezometer;Total Station (Survey),"{""Monday-Friday"": ""10:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Prof. Singh,contact@advancedcivilinnovationcenter.edu.in
LAB_B15C35,Advanced CS-AI Testing Facility,"Bhubaneswar, Odisha",NAS Storage (100TB);Raspberry Pi 5;LiDAR Sensor;TPU Cloud Instance;GPU Workstation (NVIDIA RTX 4090);Temperature Sensor;Network Switch (10GbE);Microphone Array;Jetson Nano;Tactile Sensor;High-Resolution Camera,"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Mr. Das,contact@advancedcs-aitestingfacility.edu.in
LAB_5C2184,Advanced Materials Science Institute of Technology,"Kolkata, West Bengal",Muffle Furnace;Raman Spectrometer;Universal Testing Machine (UTM);Transmission Electron Microscope (TEM);Spin Coater;Thermogravimetric Analyzer (TGA);Autoclave;UV-Vis Spectrophotometer;Penetrometer;Breadboard & Jumper Wires;Electrochemical Workstation,"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Iyer,contact@advancedmaterialsscienceinstituteoftechnology.edu.in
LAB_8C0FF9,Digital Electronics Institute of Technology,"Chandigarh, Punjab",3D Printer (FDM);Ball Mill;Function Generator;Digital Multimeter;Hardness Tester;Arduino Mega;Oscilloscope (4-channel);Soldering Station;Thermogravimetric Analyzer (TGA);RF Signal Generator;FPGA Board (Xilinx Artix-7);Power Supply (Variable);Motor Driver Module,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Ms. Iyer,contact@digitalelectronicsinstituteoftechnology.edu.in
LAB_009E6C,Regional Materials Science Research Lab,"Mumbai, Maharashtra",Muffle Furnace;Raman Spectrometer;Universal Testing Machine (UTM);Ball Mill;Sputtering System;Rainfall Gauge;Hardness Tester;Thermogravimetric Analyzer (TGA);Scanning Electron Microscope (SEM);Electrochemical Workstation,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Sharma,contact@regionalmaterialsscienceresearchlab.edu.in
LAB_9646F3,Digital Materials Science Institute of Technology,"Lucknow, Uttar Pradesh",AFM (Atomic Force Microscope);Universal Testing Machine (UTM);Ball Mill;Hardness Tester;X-Ray Diffractometer (XRD);Spin Coater;Arduino Mega;Thermogravimetric Analyzer (TGA);Scanning Electron Microscope (SEM);Raspberry Pi 4;Electrochemical Workstation,"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Das,contact@digitalmaterialsscienceinstituteoftechnology.edu.in
LAB_38177B,Precision Materials Science Center for Excellence,"Hyderabad, Telangana",Muffle Furnace;Raman Spectrometer;Universal Testing Machine (UTM);X-Ray Diffractometer (XRD);MRI Scanner (access);Scanning Electron Microscope (SEM);Electrochemical Workstation;Motor Driver Module,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Singh,contact@precisionmaterialssciencecenterforexcellence.edu.in
LAB_8594CA,Collaborative Electronics Innovation Center,"Kolkata, West Bengal",3D Printer (FDM);Soil pH Meter;PCB Prototyping Machine;Arduino Mega;RF Signal Generator;FPGA Board (Xilinx Artix-7);Motor Driver Module;Drone (DJI Matrice);STM32 Nucleo Board,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Das,contact@collaborativeelectronicsinnovationcenter.edu.in
LAB_50B9CD,Collaborative Electronics Testing Facility,"Kochi, Kerala",3D Printer (FDM);Function Generator;Digital Multimeter;CRO (Cathode Ray Oscilloscope);PCB Prototyping Machine;Logic Analyzer;Oscilloscope (4-channel);Arduino Mega;STM32 Nucleo Board;Soldering Station;RF Signal Generator;Spectrum Analyzer;FPGA Board (Xilinx Artix-7);Power Supply (Variable);Motor Driver Module,"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Mr. Reddy,contact@collaborativeelectronicstestingfacility.edu.in
LAB_4A7A12,Precision Environmental Science Testing Facility,"Bengaluru, Karnataka",Spectrophotometer;Turbidity Meter;Dissolved Oxygen Sensor;Strain Gauge;Datalogger;Particulate Matter Sensor (PM2.5);GPS Device,"{""Monday-Friday"": ""8:00-17:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Ms. Nair,contact@precisionenvironmentalsciencetestingfacility.edu.in
LAB_3E0C45,Precision Electronics Research Lab,"Mumbai, Maharashtra",Logic Analyzer;Oscilloscope (4-channel);Arduino Mega;Soldering Station;RF Signal Generator;Temperature Sensor;Power Supply (Variable),"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Patel,contact@precisionelectronicsresearchlab.edu.in
LAB_EAD0DF,Digital Biomedical Institute of Technology,"Guwahati, Assam",High-Speed Camera;Flow Cytometer;Microcontroller (ESP32);Theodolite;Microscope (Fluorescent);Autoclave,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Prof. Sharma,contact@digitalbiomedicalinstituteoftechnology.edu.in
LAB_CDC5C0,Regional Civil Innovation Center,"Guwahati, Assam",Triaxial Test Apparatus;Proctor Compaction Test;Compression Testing Machine (CTM);Schmidt Hammer;Traffic Counter Sensor;Theodolite;Core Cutter;Spectrum Analyzer;Drone (Survey Grade);Piezometer;Total Station (Survey),"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Das,contact@regionalcivilinnovationcenter.edu.in
LAB_D86AB3,Apex Materials Science Research Lab,"Hyderabad, Telangana",Raman Spectrometer;AFM (Atomic Force Microscope);Ball Mill;Transmission Electron Microscope (TEM);Universal Testing Machine (UTM);Sputtering System;Function Generator;Hardness Tester;X-Ray Diffractometer (XRD);Spin Coater;Thermogravimetric Analyzer (TGA);UV-Vis Spectrophotometer;Scanning Electron Microscope (SEM);Electrochemical Workstation,"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Nair,contact@apexmaterialsscienceresearchlab.edu.in
LAB_17DE96,Digital Materials Science Innovation Center,"Delhi, NCR",Raman Spectrometer;AFM (Atomic Force Microscope);Ball Mill;Transmission Electron Microscope (TEM);Sputtering System;Hardness Tester;GPU Workstation (NVIDIA RTX 4090);Thermogravimetric Analyzer (TGA);UV-Vis Spectrophotometer;Electrochemical Workstation;Scanning Electron Microscope (SEM);Spin Coater,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Nair,contact@digitalmaterialsscienceinnovationcenter.edu.in
LAB_7A9107,Digital Biomedical Research Lab,"Coimbatore, Tamil Nadu",Electrophoresis Apparatus;Compression Testing Machine (CTM);Centrifuge;PCR Machine;Microscope (Fluorescent);Flow Cytometer;ELISA Reader,"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Prof. Das,contact@digitalbiomedicalresearchlab.edu.in
LAB_30B601,Regional Biomedical Testing Facility,"Coimbatore, Tamil Nadu",High-Speed Camera;EEG Headset;Incubator;Ball Mill;Piezometer;Electrophoresis Apparatus;GPU Workstation (NVIDIA A100);Microcontroller (ESP32);Centrifuge;GPS Device;Microscope (Fluorescent);Biosensor Array;Flow Cytometer;ELISA Reader;MRI Scanner (access),"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Singh,contact@regionalbiomedicaltestingfacility.edu.in
LAB_0415B6,Collaborative Electronics Institute of Technology,"Hyderabad, Telangana",3D Printer (FDM);Power Supply (Variable);Function Generator;Digital Multimeter;Blood Glucose Sensor;PCB Prototyping Machine;Logic Analyzer;Arduino Mega;Oscilloscope (4-channel);STM32 Nucleo Board;Soldering Station;Thermogravimetric Analyzer (TGA);RF Signal Generator;Electrochemical Workstation;FPGA Board (Xilinx Artix-7);CRO (Cathode Ray Oscilloscope);Motor Driver Module,"{""Monday-Friday"": ""10:00-17:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Prof. Iyer,contact@collaborativeelectronicsinstituteoftechnology.edu.in
LAB_08C36A,Precision CS-AI Testing Facility,"Coimbatore, Tamil Nadu",NAS Storage (100TB);Incubator;Raspberry Pi 5;Rainfall Gauge;LiDAR Sensor;TPU Cloud Instance;Scanning Electron Microscope (SEM);Jetson Nano;Tactile Sensor;High-Resolution Camera,"{""Monday-Friday"": ""8:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Das,contact@precisioncs-aitestingfacility.edu.in
LAB_6719FE,Digital Civil Institute of Technology,"Kochi, Kerala",Power Supply (Variable);Strain Gauge;Triaxial Test Apparatus;Sputtering System;Scanning Electron Microscope (SEM);Compression Testing Machine (CTM);Accelerometer;Schmidt Hammer;GPS RTK System;Drone (Survey Grade);Piezometer;Penetrometer;Total Station (Survey),"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Dr. Nair,contact@digitalcivilinstituteoftechnology.edu.in
LAB_FDC846,Apex Environmental Science Center for Excellence,"Chennai, Tamil Nadu",Turbidity Meter;Dissolved Oxygen Sensor;pH Sensor;CO2 Sensor;Arduino Uno;Spectrophotometer;Breadboard & Jumper Wires;Waterproof Enclosure;Conductivity Meter;Turbidity Sensor;Raspberry Pi 4;Spectrum Analyzer;Water Sampler;Temperature Sensor;Drone (DJI Matrice);Power Supply (Variable);Soil pH Meter,"{""Monday-Friday"": ""10:00-18:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Reddy,contact@apexenvironmentalsciencecenterforexcellence.edu.in
LAB_FB9320,Apex Biomedical Institute of Technology,"Guwahati, Assam",Spectrophotometer;EEG Headset;High-Speed Camera;Blood Glucose Sensor;Particulate Matter Sensor (PM2.5);GPU Workstation (NVIDIA A100);MRI Scanner (access);Centrifuge;Autoclave;Microcontroller (ESP32);PCR Machine;Microscope (Fluorescent);ELISA Reader;Biosensor Array,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Sharma,contact@apexbiomedicalinstituteoftechnology.edu.in
LAB_291821,Regional Biomedical Testing Facility,"Chandigarh, Punjab",3D Printer (FDM);High-Speed Camera;Incubator;Spectrophotometer;ECG Sensor;Blood Glucose Sensor;GPU Workstation (NVIDIA A100);Microcontroller (ESP32);Centrifuge;Biosensor Array;Microscope (Fluorescent);ELISA Reader;Autoclave,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Dr. Patel,contact@regionalbiomedicaltestingfacility.edu.in
LAB_DD350C,Advanced Materials Science Innovation Center,"Guwahati, Assam",Muffle Furnace;AFM (Atomic Force Microscope);Ball Mill;Universal Testing Machine (UTM);Sputtering System;Hardness Tester;TPU Cloud Instance;X-Ray Diffractometer (XRD);Thermogravimetric Analyzer (TGA);UV-Vis Spectrophotometer;Electrochemical Workstation;Spin Coater,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Das,contact@advancedmaterialsscienceinnovationcenter.edu.in
LAB_46ADFB,Advanced Electronics Institute of Technology,"Kochi, Kerala",3D Printer (FDM);Function Generator;CRO (Cathode Ray Oscilloscope);PCB Prototyping Machine;Logic Analyzer;Arduino Mega;Oscilloscope (4-channel);Soldering Station;RF Signal Generator;Spectrum Analyzer;Breadboard & Jumper Wires;Tactile Sensor;Power Supply (Variable);STM32 Nucleo Board,"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Ms. Singh,contact@advancedelectronicsinstituteoftechnology.edu.in
LAB_41329C,Advanced Materials Science Testing Facility,"Mumbai, Maharashtra",Muffle Furnace;Raman Spectrometer;Incubator;Hardness Tester;Accelerometer;Scanning Electron Microscope (SEM);Electrochemical Workstation,"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Reddy,contact@advancedmaterialssciencetestingfacility.edu.in
LAB_51D073,Apex Biomedical Testing Facility,"Coimbatore, Tamil Nadu",Spectrophotometer;ECG Sensor;Microcontroller (ESP32);PCR Machine;Centrifuge;GPS Device;GPS RTK System;Flow Cytometer;Biosensor Array,"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Singh,contact@apexbiomedicaltestingfacility.edu.in
LAB_206BE6,Apex Environmental Science Research Lab,"Chandigarh, Punjab",Spectrophotometer;Dissolved Oxygen Sensor;Rainfall Gauge;Waterproof Enclosure;Conductivity Meter;Temperature Sensor;Power Supply (Variable),"{""Monday-Friday"": ""8:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Mr. Das,contact@apexenvironmentalscienceresearchlab.edu.in
LAB_80E6BA,Apex CS-AI Innovation Center,"Bengaluru, Karnataka",NAS Storage (100TB);Raspberry Pi 5;Tactile Sensor;Datalogger;GPU Workstation (NVIDIA RTX 4090);TPU Cloud Instance;Network Switch (10GbE);Microphone Array;Jetson Nano;LiDAR Sensor;High-Resolution Camera,"{""Monday-Friday"": ""9:00-18:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Mr. Sharma,contact@apexcs-aiinnovationcenter.edu.in
LAB_887B80,Regional Environmental Science Research Lab,"Hyderabad, Telangana",pH Sensor;Spectrophotometer;Turbidity Meter;Arduino Uno;Datalogger;Hardness Tester;Conductivity Meter;Turbidity Sensor;GPS Device;Anemometer;Breadboard & Jumper Wires;Temperature Sensor,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Prof. Sharma,contact@regionalenvironmentalscienceresearchlab.edu.in
LAB_740B7B,Regional Civil Research Lab,"Mumbai, Maharashtra",Incubator;Strain Gauge;Triaxial Test Apparatus;Proctor Compaction Test;FPGA Board (Xilinx Artix-7);Compression Testing Machine (CTM);Accelerometer;Traffic Counter Sensor;Drone (Survey Grade),"{""Monday-Friday"": ""9:00-17:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Das,contact@regionalcivilresearchlab.edu.in
LAB_A73F11,Advanced Materials Science Innovation Center,"Coimbatore, Tamil Nadu",Muffle Furnace;Raman Spectrometer;AFM (Atomic Force Microscope);Ball Mill;Transmission Electron Microscope (TEM);Universal Testing Machine (UTM);Sputtering System;Hardness Tester;Spin Coater;Thermogravimetric Analyzer (TGA);UV-Vis Spectrophotometer;Scanning Electron Microscope (SEM);Raspberry Pi 4;Electrochemical Workstation,"{""Monday-Friday"": ""10:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Ms. Reddy,contact@advancedmaterialsscienceinnovationcenter.edu.in
LAB_D9A6E5,Digital Electronics Innovation Center,"Chandigarh, Punjab",Raman Spectrometer;Function Generator;Digital Multimeter;PCB Prototyping Machine;Arduino Mega;Network Switch (10GbE);Theodolite;STM32 Nucleo Board,"{""Monday-Friday"": ""10:00-18:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Mr. Sharma,contact@digitalelectronicsinnovationcenter.edu.in
LAB_D3B97C,Apex Materials Science Research Lab,"Kochi, Kerala",Muffle Furnace;Ball Mill;Sputtering System;Datalogger;X-Ray Diffractometer (XRD);UV-Vis Spectrophotometer;Spin Coater,"{""Monday-Friday"": ""8:00-17:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Nair,contact@apexmaterialsscienceresearchlab.edu.in
LAB_FA093D,Digital Electronics Center for Excellence,"Hyderabad, Telangana",3D Printer (FDM);Digital Multimeter;CRO (Cathode Ray Oscilloscope);PCB Prototyping Machine;Logic Analyzer;Oscilloscope (4-channel);RF Signal Generator;LiDAR Sensor;Power Supply (Variable),"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Mr. Singh,contact@digitalelectronicscenterforexcellence.edu.in
LAB_286C69,Central Electronics Innovation Center,"Pune, Maharashtra",Power Supply (Variable);Universal Testing Machine (UTM);Proctor Compaction Test;Function Generator;PCB Prototyping Machine;Logic Analyzer;Oscilloscope (4-channel);Arduino Mega;Soldering Station;RF Signal Generator;Spectrum Analyzer;FPGA Board (Xilinx Artix-7);Motor Driver Module;CRO (Cathode Ray Oscilloscope);STM32 Nucleo Board,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""09:00-13:00"", ""Sunday"": ""Closed""}",Ms. Iyer,contact@centralelectronicsinnovationcenter.edu.in
LAB_384F0D,Digital CS-AI Center for Excellence,"Hyderabad, Telangana",NAS Storage (100TB);Raspberry Pi 5;Particulate Matter Sensor (PM2.5);GPU Workstation (NVIDIA RTX 4090);TPU Cloud Instance;Hardness Tester;Network Switch (10GbE);Microphone Array;Tactile Sensor,"{""Monday-Friday"": ""9:00-20:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Dr. Singh,contact@digitalcs-aicenterforexcellence.edu.in
LAB_4AC8E3,Regional Environmental Science Innovation Center,"Mumbai, Maharashtra",Spectrophotometer;pH Sensor;CO2 Sensor;Arduino Uno;Datalogger;Rainfall Gauge;Portable Water Quality Analyzer;Particulate Matter Sensor (PM2.5);Waterproof Enclosure;GPS Device;Anemometer;Breadboard & Jumper Wires;Temperature Sensor;Soil pH Meter,"{""Monday-Friday"": ""9:00-19:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Ms. Iyer,contact@regionalenvironmentalscienceinnovationcenter.edu.in
LAB_FF68C3,Digital Environmental Science Institute of Technology,"Pune, Maharashtra",pH Sensor;CO2 Sensor;Waterproof Enclosure;Network Switch (10GbE);Temperature Sensor;Drone (DJI Matrice),"{""Monday-Friday"": ""8:00-18:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Ms. Sharma,contact@digitalenvironmentalscienceinstituteoftechnology.edu.in
LAB_B3042A,Regional Electronics Testing Facility,"Chennai, Tamil Nadu",3D Printer (FDM);Incubator;Universal Testing Machine (UTM);Function Generator;Sputtering System;CRO (Cathode Ray Oscilloscope);PCB Prototyping Machine;Logic Analyzer;STM32 Nucleo Board;Arduino Mega;Oscilloscope (4-channel);Soldering Station;RF Signal Generator;Spectrum Analyzer;FPGA Board (Xilinx Artix-7);Power Supply (Variable);Motor Driver Module,"{""Monday-Friday"": ""8:00-20:00"", ""Saturday"": ""10:00-14:00"", ""Sunday"": ""Closed""}",Ms. Das,contact@regionalelectronicstestingfacility.edu.in
